name,code,1995-01,1995-02,1995-03,1995-04,1995-05,1995-06,1995-07,1995-08,1995-09,1995-10,1995-11,1995-12,1995-01,1995-02,1995-03,1995-04,1995-05,1995-06,1995-07,1995-08,1995-09,1995-10,1995-11,1995-12,Feels Like Jan,Feb Feels,Mar Feels,Apr Feels,May Feels,Jun Feels,Jul Feels,Aug Feels,Sep Feels,Oct Feels,Nov Feels,Dec Feels
Afghanistan,AFG,-1.5,0.6,6.65,13.27,18.82,23.05,25.1,23.9,19.53,13.36,6.3,0.71,60.77,61.8,57.21,49.88,39.83,32.72,30.68,30.25,30.48,37.63,49.21,56.36,14.5541,16.994,21.5293,25.7304,27.9639,29.8476,31.2244,29.8825,25.5884,21.7779,18.5393,15.3088
Albania,ALB,3.07,3.98,6.92,10.81,15.68,19.7,22.05,22.07,17.52,13.29,8.57,4.28,78.28,74.47,70.92,71.24,71.46,67.73,63.79,63.99,70.68,74.32,77.65,80.06,24.9024,24.5551,26.3236,30.3192,35.2618,38.0509,39.1007,39.1867,36.8444,33.8156,30.1945,26.6998
Algeria,DZA,12.12,14.53,19.19,23.75,28.26,32.32,34.59,33.86,30.48,24.85,17.83,13.15,43.19,36.33,29.47,25.47,22.61,20.02,18.07,21.29,26.66,32.89,38.28,45.11,22.3727,22.5189,24.9151,28.1551,31.7213,34.9266,36.5531,36.8857,35.2778,31.7037,26.4624,24.0363
American Samoa (U.S.),ASM,26.92,26.98,27.11,27.21,26.98,26.71,26.31,26.16,26.26,26.43,26.71,26.91,83.26,83.08,82.76,82.21,80.74,80.63,80.11,80.13,81.37,81.95,82.45,82.24,50.3958,50.3964,50.4208,50.3393,49.6242,49.3179,48.7463,48.6029,49.1121,49.4735,49.9185,50.0492
Andorra,AND,-2.63,-2.16,0.68,3.12,7.68,12.31,14.49,14.39,10.81,7.15,0.74,-2.22,74.8,72.52,72.51,76.13,74.23,71.39,69.7,69.21,71.69,74.77,78.37,75.03,18.054,17.7716,20.6083,24.2429,28.1759,31.8687,33.491,33.2293,30.4677,27.8241,22.6021,18.5399
Angola,AGO,22.21,22.3,22.16,22.19,21.87,20.33,20.04,22.07,23.71,23.87,22.67,22.1,77.28,78.15,80.72,71.95,53.01,43.9,40.04,39.64,46.31,60.01,73.78,77.8,43.7124,44.0895,44.7976,41.9335,35.3633,30.817,29.2532,31.1512,34.9923,39.6733,43.0174,43.774
Anguilla (U.K.),AIA,24.95,24.67,24.71,25.25,26.15,26.94,27.15,27.4,27.4,27.1,26.41,25.61,77.16,76.05,75.65,78.09,80.25,80.53,81.32,81.59,81.52,81.18,79.4,77.48,46.4128,45.7665,45.6745,47.0197,48.6325,49.5149,49.9856,50.3247,50.3016,49.8894,48.612,47.1784
Antigua and Barbuda,ATG,25.08,24.8,24.88,25.43,26.27,26.92,27.1,27.36,27.39,27.1,26.53,25.73,77.11,75.79,75.63,78.03,80.08,80.38,81.24,81.54,81.37,81.15,79.39,77.61,46.5263,45.8107,45.8379,47.1799,48.6964,49.4454,49.9092,50.2682,50.2421,49.8795,48.7287,47.3413
Egypt,EGY,13.53,15.28,18.73,23.28,27.31,29.64,30.75,30.77,28.66,24.51,19.09,14.77,50.43,43.44,36.77,30.79,29.27,30.39,32.45,34.6,37.38,43.14,48.92,51.94,26.1719,25.6152,26.8641,29.4407,32.9691,35.6687,37.4585,38.188,36.9954,34.7462,31.2336,27.9102
Argentina,ARG,21.47,20.3,18.24,14.57,10.84,8.03,7.45,9.46,12.07,15.61,18.13,20.41,54.36,59.11,62.34,64.32,67.89,68.16,63.72,58.38,54.88,54.45,51.93,52.05,35.4088,35.8063,34.8122,31.7956,29.2437,26.5228,24.4776,24.7254,26.1804,29.5785,31.2669,33.5865
Armenia,ARM,-6.01,-4.32,0.4,5.87,10.89,15.27,18.12,18.5,14.23,8.68,1.73,-3.69,73.85,71.61,70.12,71.6,71.21,68.09,67.79,64.88,66.57,70.31,72.78,73.45,14.3605,15.3113,19.5396,25.498,30.3893,33.7397,36.4907,35.9104,32.1981,27.8823,21.7474,16.5485
Aruba (Neth.),ABW,25.77,25.61,25.73,26.22,26.82,27.11,26.98,27.54,27.88,27.52,26.96,26.31,81.85,81.18,82.06,83.9,85.2,84.9,85.34,84.51,83.49,83.44,83.41,82.59,48.7805,48.3994,48.8098,49.907,50.936,51.127,51.1422,51.4283,51.4317,51.0552,50.4853,49.5647
Australia,AUS,28.3,27.39,25.45,22.37,18.2,15.07,14.57,16.54,20.41,23.48,25.86,27.28,48.19,52.54,51.04,50.16,53.99,57.84,55.03,47.24,42.64,40.52,42.45,45.42,40.2027,40.7282,38.2932,34.9228,32.0167,30.1572,28.7299,28.1292,30.4812,32.8516,35.8685,38.2686
Austria,AUT,-3.37,-1.74,1.9,6.75,11.5,14.81,16.37,15.94,11.64,7.44,2.02,-2.6,82.83,78.29,74.45,71.54,72.4,73.84,74.08,76.04,79.73,82.2,84.75,84.43,19.9639,20.0957,22.4685,26.3582,31.392,35.1772,36.8164,37.0332,33.9509,30.566,25.9875,21.2619
Azerbaijan,AZE,0.42,1.72,5.74,11.02,16.44,21.32,24.23,24.29,19.31,13.7,7.14,2.35,75.74,74.32,72.42,71.67,68.45,60.87,57.44,57.89,67.15,74.27,76.41,75.6,21.4142,22.2456,25.6386,30.6711,35.0285,37.4071,39.1852,39.3937,37.4695,34.2091,28.3553,23.298
Bahrain,BHR,17.27,17.89,20.43,24.37,29.05,31.96,33.45,33.92,32.46,29.5,24.48,19.67,72.36,72.43,70.09,69.61,66.83,63.18,65.15,68.56,65.76,67.39,66.65,71.78,37.1488,37.7919,39.5597,43.3413,47.1039,48.8094,50.9495,52.5448,50.1608,47.7387,42.4745,39.3574
Bangladesh,BGD,17.88,21.31,25.59,27.88,28.49,28.51,28.33,28.36,28.06,26.87,23.41,19.45,72.82,66.6,64.16,72.94,79.46,84.96,86.03,85.91,85.85,82.63,76.72,75.32,37.9106,39.288,42.7628,47.9502,50.7118,52.5468,52.7199,52.7103,52.3905,50.1379,44.7276,40.3056
Barbados,BRB,25.62,25.4,25.53,26.03,26.71,26.87,26.84,27.09,27.38,27.2,26.77,26.27,77.94,76.45,76.83,78.58,79.65,80.87,82.03,82.19,81.1,81.65,81.75,78.87,47.3402,46.6285,46.8839,47.9614,48.9945,49.5571,49.9099,50.2127,50.143,50.1445,49.7475,48.2971
Belarus,BLR,-4.75,-3.98,0.4,8.03,13.73,17.09,19.41,17.87,12.35,6.93,1.8,-3.22,86.57,84.08,75.71,66.22,66.71,69.91,71.64,72.17,77.31,82.28,88.39,88.31,19.8181,19.7664,21.3843,25.8826,31.7443,36.1603,39.0512,37.6861,33.8623,30.0824,26.9687,21.9223
Belgium,BEL,2.89,3.67,6.18,9.61,13.17,15.94,17.8,17.65,14.58,11.04,6.58,3.24,86.99,83.96,78.26,72.47,73.49,74.08,75.16,75.95,80.15,84.19,88.64,88.93,27.5967,27.3768,28.0058,29.5251,33.4217,36.3864,38.6028,38.7135,37.0295,34.8227,31.8312,28.5869
Belize,BLZ,22.77,23.79,24.9,26.55,27.26,27.12,26.77,26.96,26.85,25.61,23.9,23.07,83.5,80.91,76.74,75.81,78.39,82.99,83.73,83.37,84.48,85.49,84.62,84.9,46.325,46.4903,46.2242,47.5673,49.1287,50.5067,50.4009,50.4721,50.7284,49.8217,47.8246,47.087
Benin,BEN,26.88,29.04,30.69,30.35,28.82,27.09,25.78,25.15,25.71,26.91,27.54,26.87,35.66,35.97,43.74,59.5,70.19,77.08,81.65,84.5,83.49,75.59,53.73,40.89,34.6478,36.9101,41.1242,45.985,47.9827,48.5264,48.7245,49.035,49.2617,47.8547,41.2709,36.3637
Bermuda (U.K.),BMU,18.23,17.76,17.65,18.82,20.82,23.78,25.92,26.37,25.79,24.06,21.43,19.63,71.09,71.36,71.88,74.52,79.46,82.71,82.12,81.34,79,74.52,70.65,70.42,37.6897,37.3088,37.3704,39.4116,43.0418,47.0743,49.0196,49.2122,47.86,44.6516,40.7445,38.8686
Bhutan,BTN,1.42,3.2,6.35,9.47,12.67,15.08,15.71,15.63,14.32,10.65,6.67,3.44,77.11,77.38,77.71,79.92,83.14,87.84,89.88,88.67,87.35,81.95,78.75,77.38,22.8663,24.7354,27.9943,31.8436,36.1062,40.0672,41.3704,40.8911,39.1455,33.6935,28.6575,24.9754
Bolivia,BOL,21.64,21.27,21.14,20.35,18.27,17.45,17.31,19.08,20.68,21.9,21.96,21.92,79.19,80.51,79.74,74.34,69.09,66.27,61.86,56.78,58.25,64.5,68.82,74.84,43.7727,43.8383,43.4542,40.8822,37.0697,35.3191,33.7238,33.8174,35.9025,39.185,40.6706,42.6172
